Proptype,Locality,Count,lat,lng,ROI
KONDOMINIUM,"LE YUAN RESIDENCE, KUALA LUMPUR",54,3.0787854,101.6890021,-18.3440511
KONDOMINIUM,"LIDO RESIDENCY, KUALA LUMPUR",16,3.109873,101.7276453,-57.22313021
KONDOMINIUM,"LOGING HEIGHTS, KUALA LUMPUR",44,3.1942107,101.7450604,30.29738866
KONDOMINIUM,"LUMINA KIARA, KUALA LUMPUR",85,3.1744785,101.6566522,13.22412923
KONDOMINIUM,"MADU MAS, KUALA LUMPUR",88,3.1876264,101.7143033,25.67379917
KONDOMINIUM,"MAGNA VILLE, GOMBAK",303,3.2446825,101.6544633,27.58943722
KONDOMINIUM,"MAHASA VILLA APARTMENT, KUALA LUMPUR",23,3.2101043,101.6945681,43.38850625
KONDOMINIUM,"MAS KIARA CONDOMINIUM, KUALA LUMPUR",62,3.1567872,101.6280537,25.76366425
KONDOMINIUM,"MAYANG COURT, KUALA LUMPUR",18,3.1606099,101.7132576,18.14281345
KONDOMINIUM,"MEADOW PARK, KUALA LUMPUR",234,3.0844512,101.6781267,34.55090956
KONDOMINIUM,"MEDAN PUTRA CONDOMINIUM, KUALA LUMPUR",160,3.1939451,101.6241767,34.97378608
KONDOMINIUM,"MELATI INDAH/DESA MELAWATI, GOMBAK",29,3.2195325,101.7219271,35.05386811
KONDOMINIUM,"MENARA ANTARA, KUALA LUMPUR",23,3.14968,101.7041299,26.89881805
KONDOMINIUM,"MENARA BANGSAR, KUALA LUMPUR",44,3.1428507,101.6642387,32.97911504
KONDOMINIUM,"MENARA BELFIELD, KUALA LUMPUR",40,3.136884,101.7001825,30.98375672
KONDOMINIUM,"MENARA BINJAI, KUALA LUMPUR",53,3.159702,101.718732,21.6344185
KONDOMINIUM,"MENARA BUKIT CEYLON, KUALA LUMPUR",51,3.1478484,101.7064291,10.64835481
KONDOMINIUM,"MENARA DUTA CONDOMINIUM, KUALA LUMPUR",318,3.1802329,101.6578113,28.37320112
KONDOMINIUM,"MENARA HARTAMAS, KUALA LUMPUR",68,3.1618467,101.6551454,17.1726044
